Course	Room	Teacher	Time	Students
017127	14 / 14 / 45	TH224	1020104	69	3893220 4000812 4180508 4278521 4256760 4279995 4091718 4003177 4165473 3923376 4003188 4153748 3817962 3690361 
013185	10 / 11 / 40	TAYF	3420576	68	3823262 3901669 3930865 4090844 3814296 3820858 3915044 3930721 3902614 3652339 
011859	9 / 15 / 9	DAL212E	3332662	69	3903833 3909951 3914754 3930034 3930054 3823278 3910695 3914354 3671929 
001242	2 / 3 / 5	DAL315	4354604	1	3903909 3813457 
013184	7 / 8 / 9	DAL212E	3198619	1	3860357 3903994 3914515 4175303 4090814 4002204 4176086 
002397	30 / 32 / 40	TAYF	0493725	1	3820397 3905822 3908300 4011555 4176023 4176079 4094815 3914498 3930118 3930137 4094012 4094175 3665300 3816549 3910937 3995827 3793612 3821632 3915028 3930890 4037411 4045331 4175371 4175400 3756293 3821273 4086474 4175374 3910691 3910636 
011237	5 / 9 / 24	DAL25	4354084	1	3910179 3820395 3914676 4086436 3913807 
001750	6 / 17 / 6	GOCOM	4196252	1	3690799 3910497 3913159 4000367 3910622 3684090 
002992	45 / 50 / 45	TH224	4358918	1	3913138 3927400 3929739 4000795 4062513 4070957 4090845 4092004 4092290 4258417 4277274 4280365 4280475 4282115 3821958 3942061 4127014 4230476 4280607 4276195 4278502 4092173 4276784 4003130 4003163 4095703 4260945 3814296 4000253 4095088 4175322 4280706 4091877 3674492 4371956 4092335 4165473 3817419 3937404 4081695 4176668 4371027 4372224 4001712 4077315 
007923	5 / 7 / 13	RCCON	3435819	1	3913786 3711797 3796254 3884178 4175383 
015010	2 / 6 / 9	TH118	0431946	1	4086413 3905830 
016614	11 / 12 / 28	TH104	4170946	1	3486653 3651486 3790825 3816180 3914820 4092767 3609410 3820380 3821571 3910686 3930767 
002163	8 / 10 / 44	PK179	0168378	1	3915054 3929815 4097018 3915029 3930678 4086391 3902440 3929954 
014114	7 / 12 / 14	DAL6	0827051	1	3915711 4090806 4278573 4175510 3897515 3858245 4175528 
008764	12 / 42 / 12	TH102	4362871	1	3890005 3931971 3970633 4003485 4026411 4078277 4091784 4093159 4095047 4180325 4181049 4278489 
